"TOA5","CR3000_flume","CR3000","5362","CR3000.Std.29","CPU:CR3000Flume.CR3","53051","Table1"
"TIMESTAMP","RECORD","VWC_S2_2","Temp_S2_2","VWC_S2_1","Temp_S2_1","VWC_S3_8","Temp_S3_8","VWC_S3_7","Temp_S3_7","VW_S3_4_Avg","PA_uS_S3_4_Avg","VW_S3_5_Avg","PA_uS_S3_5_Avg","VW_S4_2_Avg","PA_uS_S4_2_Avg","VW_S4_3_Avg","PA_uS_S4_3_Avg","VW_S4_4_Avg","PA_uS_S4_4_Avg","VW_S4_5_Avg","PA_uS_S4_5_Avg","VW_S4_6_Avg","PA_uS_S4_6_Avg","VW_S4_7_Avg","PA_uS_S4_7_Avg","VW_S4_8_Avg","PA_uS_S4_8_Avg","VWC_S3_4","T_S3_4","VW_S3_6_Avg","PA_uS_S3_6_Avg"
"TS","RN","%","DegC","%","DegC","%","DegC","%","DegC","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","m^3/m^3","Deg C","","uSec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg"
"2017-08-22 11:52:55",68,35.43,13.72,38.93,13.67,2.14,14.34,6.65,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.043,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.66,"NAN","NAN"
"2017-08-22 11:53:00",69,35.48,13.72,38.99,13.72,2.14,14.34,6.65,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:53:05",70,35.43,13.72,38.99,13.7,2.14,14.36,6.59,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.67,"NAN","NAN"
"2017-08-22 11:53:10",71,35.43,13.72,38.99,13.67,2.14,14.36,6.65,14.16,0.022,16.63,0.014,16.13,0.119,21.37,0.101,20.59,0.043,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.67,"NAN","NAN"
"2017-08-22 11:53:15",72,35.31,13.72,38.93,13.7,2.26,14.34,6.77,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.66,"NAN","NAN"
"2017-08-22 11:53:20",73,35.48,13.72,38.99,13.72,2.26,14.34,6.59,14.13,0.023,16.64,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.67,"NAN","NAN"
"2017-08-22 11:53:25",74,35.48,13.75,38.99,13.72,2.26,14.39,6.65,14.13,0.023,16.64,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:53:30",75,35.48,13.72,38.99,13.7,2.26,14.36,6.65,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:53:35",76,35.54,13.72,38.99,13.72,2.14,14.36,6.59,14.13,0.023,16.64,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.66,"NAN","NAN"
"2017-08-22 11:53:40",77,35.43,13.75,38.99,13.72,2.26,14.34,6.65,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:53:45",78,35.43,13.72,39.11,13.72,2.26,14.36,6.53,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.68,"NAN","NAN"
"2017-08-22 11:53:50",79,35.48,13.75,39.05,13.67,2.14,14.36,6.65,14.13,0.023,16.64,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.67,"NAN","NAN"
"2017-08-22 11:53:55",80,35.43,13.72,38.99,13.72,2.14,14.36,6.59,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.52,0.017,16.28,0.01,15.88,0.002,15.37,0.147,13.68,"NAN","NAN"
"2017-08-22 11:54:00",81,35.48,13.72,39.05,13.7,2.14,14.34,6.59,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.66,"NAN","NAN"
