Title =  "./properties/material_sand.mprops/sand"
 # Van Genuchten function parameters:
# Residual water saturation                                  5.000000E-02
# Alpha (power index)                                         12.0500    
# Beta (power index)                                          5.67000    
# Gamma (computed)                                           0.823633    
# Pore connectivity                                          0.500000    
# Minimum relative permeability                              1.000000E-03
#  Table minimum pressure                                    -1000.00    
#  Table maximum s-k slope                                    100.000    
#  Table smoothness factor                                   1.000000E-07
variables="Pressure","Saturation"
zone t="Pressure - Saturation"
# unsaturated tables
# pressure-saturation
 -0.104904174804688       0.312050452986467     
 -0.103950500488281       0.320987397902750     
 -0.102996826171875       0.330208750053654     
 -0.102043151855469       0.339718083444443     
 -0.101089477539062       0.349518310716597     
 -0.100135803222656       0.359611598176033     
 -9.918212890625000E-002  0.369999277083848     
 -9.822845458984375E-002  0.380681751848808     
 -9.727478027343750E-002  0.391658405928042     
 -9.632110595703125E-002  0.402927506422787     
 -9.536743164062500E-002  0.414486108546480     
 -9.441375732421875E-002  0.426329961339427     
 -9.346008300781250E-002  0.438453416202409     
 -9.250640869140625E-002  0.450849340014857     
 -9.155273437500000E-002  0.463509034784006     
 -9.059906005859375E-002  0.476422165931167     
 -8.964538574218750E-002  0.489576701450170     
 -8.869171142578125E-002  0.502958864260837     
 -8.773803710937500E-002  0.516553100116158     
